MALFORMED_COUNT=2
BAD	Awakening/Messages (K)/011.txt	MID_011_ED_ナレーション	bad-t-style	$t2$w0|이렇게, 이리스와 펠레지아의\n전쟁은 막을 내렸다.$k$p전쟁 후 바로, 크롬 왕자는 $Nu(과)와 같이\n이리스의 부흥을 위해 노
BAD	Awakening/Messages (K)/マイルーム挨拶.txt	MID_マイルーム挨拶_ノワール_夕	bad-backslash	어서 오세요…\n$Nu…\벌써… 밤이네요.
CRITICAL_COUNT_DIFF_TOTAL=33
TOP_CANDIDATES=120
DIFF	SCORE=14	Awakening/Messages (K)/011.txt	MID_012_OP2_プレイヤー女_02_PCF1	DELTA={'$Wa': (7, 6), '$Ws': (14, 13)}	JP=$t0$Wmクロム|6$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_34|！？　$Nu……！\nルキナは生まれて間もない。$k$p近くに母親が\nついていてやるべきだろう？$k\n$Wsクロム|$Wd$w0|$Wmusername|6$w0|$Wsusername|$Wa$E通常,|$SvpSE_VOICE_PLAYER_F#_E	KR=$t0$Wmクロム|6$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_34|!? $Nu……!\n루키나는 태어난 지 얼마 안 됐어.$k$p근처에 어머니가\n있어야 하지 않을까?$k\n$Wsクロム|$Wd$w0|$Wmusername|6$w0|$Wsusername|$Wa$E通常,|$SvpSE_VOICE_PLAYE
DIFF	SCORE=9	Awakening/Messages (K)/011.txt	MID_011_ED2_マリアベル	DELTA={'$E': (19, 22)}	JP=$t1$Wmクロム|3$Wmマリアベル|7$w0|$Wsマリアベル|$Wa$SvpSE_VOICE_MARIABELL_EVT_1|$E笑,|クロムさん！\nご無事でしたのね…ああ……$k\n$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_34|マリアベル…心配をかけたな。$k\n$Wsマリアベル|$Wa$E苦,汗|$SvpSE_VOICE	KR=$t1$Wmクロム|3$Wmマリアベル|7$w0|$Wsマリアベル|$Wa$SvpSE_VOICE_MARIABELL_EVT_1|$E笑,|크롬씨!\n무사하셔서 다행이에요… 아아……$k\n$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_34|마리아벨… 걱정을 끼쳤구나.$k\n$Wsマリアベル|$Wa$E苦,汗|$SvpSE_VO
DIFF	SCORE=8	Awakening/Messages (K)/アズール_ンン.txt	MID_支援_アズール_ンン_Ｃ	DELTA={'$Svp': (15, 13)}	JP=$SbpSTRM_BGM_EVT_TENNEN1|0|$t1$Wmアズール|7$w0|$Wsアズール|$Wa$Wmンン|3$w0|$Wsンン|$Wa$SvpSE_VOICE_NN_EVT_10|あ、アズール。$k\n$Wsアズール|$Wa$SvpSE_VOICE_AZUR_EVT_1|やあ、ンン。$k\n$Wsンン|$Wa$E怒,|$SvpSE_VOICE_	KR=$SbpSTRM_BGM_EVT_TENNEN1|0|$t1$Wmアズール|7$w0|$Wsアズール|$Wa$Wmンン|3$w0|$Wsンン|$Wa$SvpSE_VOICE_NN_EVT_10|아, 이니고.$k\n$Wsアズール|$Wa$SvpSE_VOICE_AZUR_EVT_1|안녕, 응응.$k\n$Wsンン|$Wa$E怒,|$SvpSE_VOICE
DIFF	SCORE=6	Awakening/Messages (K)/011.txt	MID_011_ED2_ソワレ	DELTA={'$E': (19, 21)}	JP=$t1$Wmクロム|3$Wmソワレ|7$w0|$Wsソワレ|$Wa$SvpSE_VOICE_SOIREE_EVT_14|$E笑,|クロム！\n無事だったんだね、良かった…$k\n$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_34|ソワレ、どうしたんだ？$k\n$Wsソワレ|$Wa$SvpSE_VOICE_SOIREE_EVT_13|$E苦	KR=$t1$Wmクロム|3$Wmソワレ|7$w0|$Wsソワレ|$Wa$SvpSE_VOICE_SOIREE_EVT_14|$E笑,|크롬!\n무사했구나, 다행이다…$k\n$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_34|수아레, 무슨 일이야?$k\n$Wsソワレ|$Wa$SvpSE_VOICE_SOIREE_EVT_13|$E苦,汗
DIFF	SCORE=5	Awakening/Messages (K)/P002.txt	MID_P002_ED1_PCF1	DELTA={'$b': (5, 6)}	JP=$t1$Wmusername|3$w0|$Wsusername|$Wa$SbpSTRM_BGM_EVT_SERIOUS1|0|$SvpSE_VOICE_PLAYER_F#_EVT_34|$E通常,|なんとか終わったわね。$k\n$Wmリズ|7$w0|$Wsリズ|$Wa$SvpSE_VOICE_LIZ_EVT_15|$E笑,|町の人たち、無事みたいだね。\n良	KR=$t1$Wmusername|3$w0|$Wsusername|$Wa$SbpSTRM_BGM_EVT_SERIOUS1|0|$SvpSE_VOICE_PLAYER_F#_EVT_34|$E通常,|어떻게든 끝냈네.$k\n$Wmリズ|7$w0|$Wsリズ|$Wa$SvpSE_VOICE_LIZ_EVT_15|$E笑,|마을 사람들, 무사한가 보네.\n다
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_ンン_親子.txt	MID_支援_マーク女_ンン_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmンン|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsンン|$Wa$E通常,|$SvpSE_VOICE_NN_EVT_4|はいなのです。$k\n$Wsマーク女|$Wa$E笑,|$Sv	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmンン|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsンン|$Wa$E通常,|$SvpSE_VOICE_NN_EVT_4|그렇습니다.$k\n$Wsマーク女|$Wa$E笑,|$S
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_リズ_親子.txt	MID_支援_マーク女_リズ_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmリズ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsリズ|$Wa$E笑,|$SvpSE_VOICE_LIZ_EVT_20|うん、大丈夫だよ。$k\n$Wsマーク女|$Wa$E笑,|	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmリズ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsリズ|$Wa$E笑,|$SvpSE_VOICE_LIZ_EVT_20|응. 괜찮아.$k\n$Wsマーク女|$Wa$E笑,|
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_ミリエル_親子.txt	MID_支援_マーク女_ミリエル_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmミリエル|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsミリエル|$Wa$E通常,|$SvpSE_VOICE_MYRIEL_EVT_5|はい、問題ありません。$k\n$Wsマーク女	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmミリエル|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsミリエル|$Wa$E通常,|$SvpSE_VOICE_MYRIEL_EVT_5|네. 문제없습니다.$k\n$Wsマーク
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_マルス_親子.txt	MID_支援_マーク女_マルス_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmルキナ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsルキナ|$Wa$E笑,|$SvpSE_VOICE_MARTH_EVT_18|えぇ、大丈夫ですよ。$k\n$Wsマーク女|$Wa	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmルキナ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsルキナ|$Wa$E笑,|$SvpSE_VOICE_MARTH_EVT_18|네. 괜찮습니다.$k\n$Wsマーク女|$W
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_マリアベル_親子.txt	MID_支援_マーク女_マリアベル_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmマリアベル|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsマリアベル|$Wa$E通常,|$SvpSE_VOICE_MARIABELL_EVT_9|えぇ。大丈夫ですわよ。$k\n$W	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmマリアベル|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsマリアベル|$Wa$E通常,|$SvpSE_VOICE_MARIABELL_EVT_9|네. 괜찮답니다.$k\n$W
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_ベルベット_親子.txt	MID_支援_マーク女_ベルベット_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmベルベット|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsベルベット|$Wa$E笑,|$SvpSE_VOICE_VELVET_EVT_10|えぇ、ちょうど暇だったのよ。$k\n$W	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmベルベット|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsベルベット|$Wa$E笑,|$SvpSE_VOICE_VELVET_EVT_10|응. 마침 한가하던 참이야.$k\
